Prop_Abolish the Welsh Assembly Party,Prop_Alliance for Democracy and Freedom,Prop_Alliance for Green Socialism,Prop_Animal Welfare Party,Prop_Ashfield Independents,Prop_Blue Revolution,Prop_British Democratic Party,Prop_Chesterfield Independents,Prop_Christian Peoples Alliance,Prop_Climate,Prop_Communist Future,Prop_Communist League,Prop_Communist Party of Britain,Prop_Confelicity,Prop_Consensus,Prop_Conservative,Prop_Count Binface Party,Prop_Democracy for Chorley,Prop_English Constitution Party,Prop_English Democrats,Prop_Fairer Voting Party,Prop_Freedom Alliance,Prop_Green,Prop_Hampshire Independents,Prop_Heritage Party,Prop_Independent,Prop_Independent Alliance Kent,Prop_Independent Network,Prop_Independent Oxford Alliance,Prop_Independents for Direct Democracy,Prop_Kingston Independent Residents Group,Prop_Labour,Prop_Liberal,Prop_Liberal Democrat,Prop_Libertarian Party,Prop_Lincolnshire Independents,Prop_Liverpool Community Independents,Prop_Monster Raving Loony Party,Prop_National Health Action Party,Prop_New Open Non-Political Organised Leadership,Prop_Newham Independents Party,Prop_One Leicester,Prop_Party of Women,Prop_Plaid Cymru,Prop_Portsmouth Independent Party,Prop_Propel,Prop_Psychedelic Future Party,Prop_Putting Crewe First,Prop_Rebooting Democracy,Prop_Reform UK,Prop_Rejoin EU,Prop_Save Us Now,Prop_Shared Ground,Prop_Social Democratic Party,Prop_Social Justice Party,Prop_Socialist Equality,Prop_Socialist Labour Party,Prop_Socialist Party of Great Britain,Prop_South Devon Alliance,Prop_Stockport Fights Austerity No to Cuts,Prop_Swale Independents,Prop_Taking The Initiative Party,Prop_The Common Good,Prop_The Common People,Prop_The Mitre TW9,Prop_The North East Party,Prop_The Peace Party,Prop_The Speaker,Prop_The Yorkshire Party,Prop_The Yoruba Party in the UK,Prop_Trade Unionist and Socialist Coalition,Prop_Transform,Prop_True & Fair,Prop_UK Independence Party,Prop_UK Voice,Prop_Volt,Prop_Women's Equality Party,Prop_Workers Party of Britain,Prop_Workers' Revolutionary Party,"Prop_Asian, Asian British or Asian Welsh: Bangladeshi","Prop_Asian, Asian British or Asian Welsh: Chinese","Prop_Asian, Asian British or Asian Welsh: Indian","Prop_Asian, Asian British or Asian Welsh: Other Asian","Prop_Asian, Asian British or Asian Welsh: Pakistani","Prop_Black, Black British, Black Welsh, Caribbean or African: African","Prop_Black, Black British, Black Welsh, Caribbean or African: Caribbean","Prop_Black, Black British, Black Welsh, Caribbean or African: Other Black",Prop_Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Prop_Mixed or Multiple ethnic groups: White and Asian,Prop_Mixed or Multiple ethnic groups: White and Black African,Prop_Mixed or Multiple ethnic groups: White and Black Caribbean,Prop_Other ethnic group: Any other ethnic group,Prop_Other ethnic group: Arab,"Prop_White: English, Welsh, Scottish, Northern Irish or British",Prop_White: Gypsy or Irish Traveller,Prop_White: Irish,Prop_White: Other White,Prop_White: Roma,Prop_Economically active (excluding full-time students): In employment,Prop_Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,Prop_Economically active and a full-time student: In employment,Prop_Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,Prop_Economically inactive (excluding full-time students),Prop_Economically inactive and a full-time student,Prop_Aged 15 years and under,Prop_Aged 16 to 24 years,Prop_Aged 25 to 34 years,Prop_Aged 35 to 49 years,Prop_Aged 50 to 64 years,Prop_Aged 65 years and over,Constituency,Winning_party,Prop_Asian,Prop_Black,Prop_Mixed,Prop_White,Prop_Other
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08119144175639771,0.0,0.0,0.0,0.0,0.0,0.0,0.030597119284016223,0.0,0.005118165291567613,0.017284295902670953,0.0,0.0,0.0,0.0,0.0,0.49889525940427915,0.0,0.02561879457418543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13198154104321075,0.0,0.0,0.0,0.0,0.0,0.20931338274367223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040509009203646895,0.002603378991487707,0.003273127943654669,0.004029296115456078,0.0014799291362398998,0.001058635440521972,0.0006913537570755736,0.000464503305535151,0.0022252949055870026,0.0028950438577539646,0.0013394979043339238,0.0042561465669965,0.0021604804908611675,0.0005185153178066802,0.952987944518861,0.0014799291362398998,0.002949055870025494,0.011072462515663484,0.000464503305535151,0.4006826749624637,0.021517223500437475,0.009808051675902221,0.0030785184225023492,0.3454205688237899,0.03343162988647288,0.18606535241695923,0.0955981636510937,0.12438563327032136,0.17963813124493655,0.20879287064542262,0.20551984877126653,Aberafan Maesteg,Labour,0.015436633107203043,0.0022144925031326963,0.010715983234671392,0.9689538953463251,0.0026789958086678475
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2900667435728411,0.0,0.0,0.0,0.0,0.0,0.0,0.04439271588661833,0.005809162821357943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4071357943309163,0.0,0.08347066578773896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16912491760052736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027165119645746402,0.004947628374350677,0.019943796304181215,0.09437111470663374,0.010797922166397002,0.013838031167504044,0.0059354509069232736,0.003900195861364217,0.006310142212381844,0.0081835987396747,0.004010900110704249,0.00649748786511113,0.02352039512901303,0.0016861108745635698,0.7315081325044708,0.0021204121604360042,0.0067870220556927536,0.051945840074938264,0.0009793068210849016,0.5182917482755685,0.02096568168270459,0.0111300349144171,0.003729881631610321,0.2338584688750745,0.02664566124499702,0.18537852337562805,0.09982117005875842,0.1582474665758324,0.20773226603082687,0.18773737545771949,0.1610831985012348,Aldershot,Labour,0.13277697351613726,0.023673677935791535,0.025002128927871924,0.7933407136166227,0.025206506003576597
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3880658938377059,0.0,0.0,0.0,0.0,0.0,0.0,0.04261134838316046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2848078096400244,0.0,0.04283099450884686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24168395363026235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017627451818298364,0.003578906884321183,0.0607986838169309,0.006046750138882954,0.014796376223238324,0.007691978975257468,0.010416221528994487,0.0026601427289432078,0.004198538523994701,0.006751848211614888,0.001410196145463869,0.011666168112473826,0.014037861629844878,0.0005448485107474039,0.8318554762616982,0.0006196316396735182,0.006847997948805607,0.0141553779753002,0.00016024956198453058,0.4523641646902976,0.020479456445099672,0.008877636048971219,0.003461316582270367,0.30462790846740595,0.032273572206909816,0.17791404488980525,0.0899291719636352,0.11461749655474483,0.17771106861666328,0.2120781565481214,0.22775006142703003,Aldridge-Brownhills,Conservative,0.0869834622452032,0.020768343233195163,0.024026750993547286,0.8536387333874621,0.014582710140592281
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323097255694628,0.0,0.0,0.0,0.0,0.0,0.0,0.07189224908652725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042214102464433,0.0,0.09187203607245588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09641996423851357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012497084661432014,0.0,0.0023978676813015865,0.027615112511518682,0.04457854007510677,0.009641013445894395,0.036582344956055605,0.01070122766861865,0.004032777464007213,0.001783537944769775,0.008075463472152036,0.011454277023077,0.003933692022631115,0.008719518841096677,0.013911595969204245,0.010958849816196506,0.7515036215728823,0.00010899398551370847,0.018806416773183517,0.03458081904025841,0.0006143297365318114,0.46376021798365125,0.017250433490215506,0.009214763438196681,0.002823879118157047,0.25591280653950954,0.0382065890512757,0.21283341920653165,0.0822599183544053,0.10071935317664778,0.21904601482303515,0.1948594982362966,0.1902817962030835,Altrincham and Sale West,Labour,0.12081487866987703,0.016517543077395638,0.032182951358956824,0.8056141811083698,0.02487044578540075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18187684365781712,0.0,0.0,0.0,0.0,0.0,0.0,0.04438606194690266,0.0,0.0,0.036297013274336286,0.0,0.0,0.0,0.0,0.0,0.4239260693215339,0.0,0.047589417404129794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04466261061946902,0.0,0.0,0.0,0.0,0.0,0.22126198377581122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010286856336703502,0.0028901167803119365,0.0031742299553256526,0.0032819970217101654,0.0007739634767615017,0.0013911748569637118,0.00042127125950309585,0.000450662277607963,0.002664785641507955,0.003566110196723881,0.0016165059957676934,0.0020965592914805238,0.003399561094129634,0.0005976173681322988,0.9166862606787366,0.000832745512971236,0.0038992084019123757,0.05053295712830159,0.0006955874284818559,0.4769672388118191,0.019574418057841523,0.011295947958303942,0.0036836742691433496,0.27744141390391097,0.02907751391174857,0.18195979308723254,0.08995610941296339,0.13046672936750528,0.1913257308566502,0.20838231836350812,0.19790931891214045,Alyn and Deeside,Labour,0.011148992867779605,0.002263108394074771,0.009943961125480053,0.9726467591504037,0.003997178462261932
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2521690061367003,0.0,0.0,0.0,0.0,0.0,0.0,0.05356093202605158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37022407185347156,0.0,0.03738449601467165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2866614939691049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033213396069748134,0.0020370882922778853,0.002878494326044838,0.0021256573484638806,0.0006642679213949627,0.0012953224467201771,0.0009631884860226959,0.0003542762247439801,0.0019817326321616385,0.0029227788541378356,0.0013285358427899254,0.004439523941323,0.0017492388596734017,8.856905618599502e-05,0.9542540824799336,0.0005978411292554664,0.0031442014946028232,0.018577359535012456,0.00026570716855798507,0.4657787520481821,0.018134715025906734,0.008513794783224836,0.0023471059740489794,0.3115672468004074,0.024135335016164033,0.16952117353999446,0.0869526709106006,0.1250041516745087,0.17908663160808191,0.2195294768890119,0.2199058953778024,Amber Valley,Labour,0.008037641848879049,0.002612787157486853,0.0106725712704124,0.9768391918073623,0.0018378079158593967
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40191815856777496,0.0,0.0,0.0,0.0,0.0,0.0,0.10074899525027402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17869930580928023,0.0,0.18025210084033613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13502009499451956,0.0,0.0,0.0,0.0033613445378151263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007203350587073073,0.0018522901509616474,0.003231217263344207,0.004054457330438272,0.0002778435226442471,0.0019963571627031086,0.0009467260771581753,0.00046307253774041185,0.004435205861469278,0.00541280344114348,0.0015229941241240211,0.003354703273408317,0.0034164462784403715,0.000452782036901736,0.9240355228088951,0.0021301336736058944,0.007625261121458782,0.033649937742469924,0.00042191053438570854,0.4491700711073608,0.015055002726982722,0.009117383743066775,0.0025623347088302786,0.33664344443644073,0.028803111847453617,0.1586486514298651,0.07529559463659097,0.08165512415489262,0.16092285211521246,0.2347366146310341,0.28874116303240477,Arundel and South Downs,Conservative,0.010136143326095682,0.003406155777601696,0.014725706700145098,0.9678627658808154,0.0038692283153421076
0.0,0.0,0.0,0.0,0.1573681703066623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0820190065444698,0.0,0.0,0.0,0.0,0.0,0.0,0.02758205661843986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896868182843961,0.0,0.015521175497103884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42782277274892805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004104355879226697,0.002630997358478652,0.006503825470159228,0.0037781122067753444,0.001473358520748045,0.005946054030161753,0.0023258016648951283,0.0014417865524463014,0.0028099051788552003,0.0031045768830048094,0.0018522221403689712,0.00589343408299218,0.0036623483230022835,0.000778775218109681,0.9204070679113038,0.0006524873449027057,0.0020311299607455196,0.03371886214626241,0.0005788194188653035,0.4496374485640016,0.02101640689952747,0.008650719314677808,0.002988812999231749,0.30720577556540135,0.025583818313846412,0.18491507229904652,0.09249436972490581,0.12812822293784598,0.1834417292837448,0.2112037212435015,0.19981688451095536,Ashfield,Reform UK,0.014796729144083939,0.009713642247503183,0.013660138285221161,0.9573883667820797,0.004441123541111964
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027440127727514637,0.28702501330494945,0.0,0.0,0.0,0.0,0.0,0.0,0.09270888770622672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3248962213943587,0.0,0.05204896221394359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21588078765300692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310814859197124,0.005233298382264829,0.014885410425404434,0.043027261833433195,0.003435814859197124,0.021906830437387656,0.004793289394847214,0.0030800629119233074,0.006319278010784901,0.007086953265428401,0.0037260335530257638,0.006440982624325944,0.014164544637507489,0.002640053924505692,0.8035406680647094,0.0028272917914919115,0.0052052127022168965,0.04791417016177352,0.0006646944278010785,0.4775269854049449,0.020492992688429745,0.011515021017253808,0.0038289785333795183,0.2506249005308144,0.030566295627100556,0.2054467495506291,0.09618409227082085,0.13834069802276813,0.19806021569802276,0.1924337177950869,0.16953452666267227,Ashford,Labour,0.06968993409227082,0.029780182744158175,0.023573247453565007,0.8601520371479927,0.01680459856201318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12337497532500494,0.0,0.0,0.0,0.0,0.0,0.0,0.0699641860071628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4392149121570176,0.0,0.03979019204196159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24770875045824992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799469840106032,0.0,0.01564405525900158,0.008506767428377216,0.02873907914992303,0.007577120694136228,0.07584118035146645,0.02666986545112857,0.0027789440012795136,0.003178792059017573,0.004878146304404326,0.006267618305044083,0.004238389412023431,0.00866670665147244,0.008866630680341471,0.003198784461904476,0.7557528139307064,0.0004898138707291229,0.005547891801115576,0.0325376356984346,0.0006197644894939923,0.43675966373114483,0.025939883445456273,0.010146043043213147,0.0044882495826627615,0.28077049950519295,0.03609592259018982,0.20579973810214017,0.09831165845320325,0.1405351912754026,0.19403432661262107,0.19810273993142674,0.16321634562520618,Ashton-under-Lyne,Labour,0.13630820288290452,0.03262760151142566,0.02405086067294428,0.7949479197904796,0.012065415142245947
